state,date1,date2,n,rate,lwr,upr,metric,survey
MT,10/1/2021,11/1/2021,2706,37.2,34.8,39.6,N,Donor
MT,11/1/2021,12/1/2021,2437,38.7,36.1,41.2,N,Donor
MT,12/1/2021,1/1/2022,2520,41.89999999999999,39.7,44.099999999999994,N,Donor
NC,7/1/2020,8/1/2020,4151,1.4,0.9000000000000001,2.1,N,Donor
NC,8/1/2020,9/1/2020,4134,2.9,2.1,4.2,N,Donor
NC,9/1/2020,10/1/2020,4076,3,2.1,4.2,N,Donor
NC,10/1/2020,11/1/2020,4204,3.8,3,4.8,N,Donor
NC,11/1/2020,12/1/2020,4093,6.5,5.4,7.9,N,Donor
NC,12/1/2020,1/1/2021,4157,8.1,6.800000000000001,9.6,N,Donor
NC,1/1/2021,2/1/2021,4147,13,11.2,15.1,N,Donor
NC,2/1/2021,3/1/2021,4208,16.4,14.6,18.5,N,Donor
NC,3/1/2021,4/1/2021,4072,18,16.2,19.8,N,Donor
NC,4/1/2021,5/1/2021,4195,20,17.9,22.3,N,Donor
NC,5/1/2021,6/1/2021,4159,19.5,17.8,21.2,N,Donor
NC,6/1/2021,7/1/2021,4157,18,16,20.1,N,Donor
NC,7/1/2021,8/1/2021,4168,18.7,16.6,21.1,N,Donor
NC,8/1/2021,9/1/2021,4226,20.7,18.6,22.9,N,Donor
NC,9/1/2021,10/1/2021,4312,23.6,22,25.3,N,Donor
NC,10/1/2021,11/1/2021,4330,25,22.9,27.1,N,Donor
NC,11/1/2021,12/1/2021,4311,27.699999999999996,25.7,29.600000000000005,N,Donor
NC,12/1/2021,1/1/2022,4073,28.1,26.1,30,N,Donor
ND,7/1/2020,8/1/2020,1312,0.9000000000000001,0.4,1.8000000000000003,N,Donor
ND,8/1/2020,9/1/2020,1365,2.1,1.1,3.9,N,Donor
ND,9/1/2020,10/1/2020,1287,4.4,3,6.3,N,Donor
ND,10/1/2020,11/1/2020,1236,4.3,3.2,5.699999999999999,N,Donor
ND,11/1/2020,12/1/2020,1243,15.2,12.5,18.3,N,Donor
ND,12/1/2020,1/1/2021,1187,18.9,16.8,21.3,N,Donor
ND,1/1/2021,2/1/2021,944,20.4,17.6,23.6,N,Donor
ND,2/1/2021,3/1/2021,1206,27.1,23.8,30.5,N,Donor
ND,3/1/2021,4/1/2021,1168,29.7,26.700000000000003,32.7,N,Donor
ND,4/1/2021,5/1/2021,1189,32.1,29.4,34.9,N,Donor
ND,5/1/2021,6/1/2021,998,34.8,30.9,38.7,N,Donor
ND,6/1/2021,7/1/2021,1136,31.6,28.499999999999996,34.8,N,Donor
ND,7/1/2021,8/1/2021,1304,31.8,28.6,35,N,Donor
ND,8/1/2021,9/1/2021,1414,33.4,29.799999999999997,36.99999999999999,N,Donor
ND,9/1/2021,10/1/2021,984,31,27.1,34.9,N,Donor
ND,10/1/2021,11/1/2021,1308,37.7,34.9,40.6,N,Donor
ND,11/1/2021,12/1/2021,1263,41.5,38.6,44.400000000000006,N,Donor
ND,12/1/2021,1/1/2022,1301,45.2,42.2,48.20000000000001,N,Donor
NE,7/1/2020,8/1/2020,1723,1.3,0.8,2.2,N,Donor
NE,8/1/2020,9/1/2020,1757,2.6,1.6,4.1,N,Donor
NE,9/1/2020,10/1/2020,1654,3.3000000000000003,2.2,4.9,N,Donor
NE,10/1/2020,11/1/2020,1719,7.400000000000001,5.9,9.3,N,Donor
NE,11/1/2020,12/1/2020,1718,16.5,14.499999999999998,18.7,N,Donor
NE,12/1/2020,1/1/2021,1817,23.4,20.5,26.6,N,Donor
NE,1/1/2021,2/1/2021,1695,24.8,21.7,28.1,N,Donor
NE,2/1/2021,3/1/2021,1822,30.599999999999998,27.500000000000004,33.8,N,Donor
NE,3/1/2021,4/1/2021,1671,31.600000000000005,28.300000000000004,34.99999999999999,N,Donor
NE,4/1/2021,5/1/2021,1799,33.7,30.8,36.7,N,Donor
NE,5/1/2021,6/1/2021,1698,28.1,24.6,31.6,N,Donor
NE,6/1/2021,7/1/2021,1756,30.7,27.500000000000004,34,N,Donor
NE,7/1/2021,8/1/2021,1701,27.3,24.1,30.5,N,Donor
NE,8/1/2021,9/1/2021,1741,29.4,26.1,32.6,N,Donor
NE,9/1/2021,10/1/2021,1806,31.100000000000005,28.199999999999996,34,N,Donor
NE,10/1/2021,11/1/2021,1750,35.6,32.7,38.4,N,Donor
NE,11/1/2021,12/1/2021,1603,36.3,33.3,39.3,N,Donor
NE,12/1/2021,1/1/2022,1778,39.9,36.7,43.1,N,Donor
NH,7/1/2020,8/1/2020,2012,1,0.6,1.5,N,Donor
NH,8/1/2020,9/1/2020,2093,1.4,0.9000000000000001,2.2,N,Donor
NH,9/1/2020,10/1/2020,2138,1.3,0.7,2.4,N,Donor
NH,10/1/2020,11/1/2020,2224,1.3,0.9000000000000001,2,N,Donor
NH,11/1/2020,12/1/2020,2261,1.7000000000000002,1.2,2.5,N,Donor
NH,12/1/2020,1/1/2021,2294,4.3,3.4000000000000004,5.5,N,Donor
NH,1/1/2021,2/1/2021,2160,7.6,6.3,9.1,N,Donor
NH,2/1/2021,3/1/2021,2220,9.4,7.8,11.2,N,Donor
NH,3/1/2021,4/1/2021,2291,11.8,10.2,13.699999999999998,N,Donor
NH,4/1/2021,5/1/2021,2301,11.2,9.7,12.8,N,Donor
NH,5/1/2021,6/1/2021,2286,12.8,11.5,14.3,N,Donor
NH,6/1/2021,7/1/2021,2415,12.000000000000002,10.4,13.8,N,Donor
NH,7/1/2021,8/1/2021,2429,12.5,10.800000000000002,14.400000000000002,N,Donor
NH,8/1/2021,9/1/2021,2589,12.6,10.900000000000002,14.499999999999998,N,Donor
NH,9/1/2021,10/1/2021,2749,12.6,11.1,14.3,N,Donor
NH,10/1/2021,11/1/2021,2594,14.3,12.5,16.4,N,Donor
NH,11/1/2021,12/1/2021,2368,16.3,14.3,18.5,N,Donor
NH,12/1/2021,1/1/2022,2388,15,13.200000000000001,17,N,Donor
NJ,7/1/2020,8/1/2020,3241,4.4,2.9999999999999996,6.3,N,Donor
NJ,8/1/2020,9/1/2020,3308,2.5,1.7000000000000002,3.7000000000000006,N,Donor
NJ,9/1/2020,10/1/2020,3238,2.7000000000000006,1.7000000000000002,4.4,N,Donor
NJ,10/1/2020,11/1/2020,3260,4.3,2.7,6.7,N,Donor
NJ,11/1/2020,12/1/2020,3296,4.900000000000001,3.5000000000000004,6.9,N,Donor
NJ,12/1/2020,1/1/2021,3283,9.2,7.000000000000001,11.9,N,Donor
NJ,1/1/2021,2/1/2021,3289,12.3,9.899999999999999,15,N,Donor
NJ,2/1/2021,3/1/2021,3247,16.4,14.3,18.7,N,Donor
NJ,3/1/2021,4/1/2021,3317,16.3,14.3,18.5,N,Donor
NJ,4/1/2021,5/1/2021,3169,16.2,13.699999999999998,19.2,N,Donor
NJ,5/1/2021,6/1/2021,3290,17.2,14.800000000000002,19.9,N,Donor
NJ,6/1/2021,7/1/2021,3296,18.7,15.8,21.9,N,Donor
NJ,7/1/2021,8/1/2021,3325,15.299999999999999,12.7,18.4,N,Donor
NJ,8/1/2021,9/1/2021,3171,16.1,13.5,19.1,N,Donor
NJ,9/1/2021,10/1/2021,3453,19.5,17.2,22.1,N,Donor
NJ,10/1/2021,11/1/2021,3224,21,18.7,23.6,N,Donor
NJ,11/1/2021,12/1/2021,3138,21.5,19.3,23.9,N,Donor
NJ,12/1/2021,1/1/2022,3032,23.4,20.300000000000004,26.8,N,Donor
NM,7/1/2020,8/1/2020,3793,2.244423938834696,1.6313999472712892,3.337911943052992,N,Donor
NM,8/1/2020,9/1/2020,3691,4.643348685992957,3.604876727174207,6.081820644811704,N,Donor
NM,9/1/2020,10/1/2020,3816,4.967085953878407,4.013102725366876,6.2656708595387824,N,Donor
NM,10/1/2020,11/1/2020,3649,6.019512195121952,4.702439024390244,7.780487804878048,N,Donor
NM,11/1/2020,12/1/2020,3647,8.918316424458459,7.6432684398135455,10.427282698108034,N,Donor
NM,12/1/2020,1/1/2021,3648,12.048629385964912,10.366008771929824,13.93125,N,Donor
NM,1/1/2021,2/1/2021,3651,15.509038619556287,13.646096959737056,17.617666392769106,N,Donor
NM,2/1/2021,3/1/2021,3644,18.59774972557629,16.4127607,20.98273874862788,N,Donor
NM,3/1/2021,4/1/2021,3642,20.440829214717187,18.022817133443166,22.895332235035692,N,Donor
NM,4/1/2021,5/1/2021,3638,21.36187465640462,19.050219901044528,23.79439252336449,N,Donor
NM,5/1/2021,6/1/2021,3632,20.131497797356825,17.97472466960352,22.53149779735683,N,Donor
NM,6/1/2021,7/1/2021,3639,20.060593569661993,17.78139598790877,22.539791151415223,N,Donor
NM,7/1/2021,8/1/2021,4129,21.761952046500365,19.682344393315574,24.02182126422863,N,Donor
NM,8/1/2021,9/1/2021,3719,23.03498252218338,20.075961279913955,26.082199515998923,N,Donor
NM,9/1/2021,10/1/2021,3048,24.589960629921258,22.17244094488189,27.22047244094488,N,Donor
NM,10/1/2021,11/1/2021,3722,28.201450832885545,25.80763030628695,30.63901128425578,N,Donor
NM,11/1/2021,12/1/2021,3675,27.116816326530607,24.70247619047619,29.63115646258504,N,Donor
NM,12/1/2021,1/1/2022,3649,28.61551109893122,26.125404220334342,31.095724856124967,N,Donor
NV,7/1/2020,8/1/2020,3500,2.0710285714285717,1.3673714285714285,3.1746857142857148,N,Donor
NV,8/1/2020,9/1/2020,3729,4.865888978278359,3.663770447841245,6.365888978278359,N,Donor
NV,9/1/2020,10/1/2020,3602,5.7725707940033315,4.402026651860078,7.5890061077179345,N,Donor
NV,10/1/2020,11/1/2020,3458,6.473857721226143,4.919028340080972,8.41902834,N,Donor
NV,11/1/2020,12/1/2020,3505,6.615977175463623,5.064479315263908,8.516975748930099,N,Donor
NV,12/1/2020,1/1/2021,3554,12.673607203151379,10.57360720315138,15.167473269555432,N,Donor
NV,1/1/2021,2/1/2021,3590,18.749637883008358,16.393537604456824,21.30573816155989,N,Donor
NV,2/1/2021,3/1/2021,3658,20.98168398031711,18.67856752323674,23.48480043739749,N,Donor
NV,3/1/2021,4/1/2021,3335,23.08605697151424,20.433583208395802,25.83358321,N,Donor
NV,4/1/2021,5/1/2021,3606,23.979950083194673,21.22079866888519,26.78727121464226,N,Donor
NV,5/1/2021,6/1/2021,3581,24.40843339849204,21.851940798659594,26.96059759843619,N,Donor
NV,6/1/2021,7/1/2021,3539,23.068070076292734,20.414608646510313,25.81460864651031,N,Donor
NV,7/1/2021,8/1/2021,4001,23.993401649587604,21.593401649587605,26.43961509622595,N,Donor
NV,8/1/2021,9/1/2021,3827,25.20940684609354,22.708466161484196,27.759994773974395,N,Donor
NV,9/1/2021,10/1/2021,3625,28.941241379310352,26.18110344827586,31.69848275862069,N,Donor
NV,10/1/2021,11/1/2021,3595,32.56447844228095,29.982753824756603,35.14620305980528,N,Donor
NV,11/1/2021,12/1/2021,3514,31.754069436539556,29.29425157,34.161923733636876,N,Donor
NV,12/1/2021,1/1/2022,3643,33.06445237441669,30.16445237441669,35.967664013175956,N,Donor
NY,7/1/2020,8/1/2020,4247,7.8128325877089715,5.7954556157287485,10.859265363786204,N,Donor
NY,8/1/2020,9/1/2020,6674,10.094216362001799,8.894516032,11.605903506143243,N,Donor
NY,9/1/2020,10/1/2020,6926,8.556078544614495,7.505082298585042,9.946260467802484,N,Donor
NY,10/1/2020,11/1/2020,6633,9.263063471,8.191512136288257,10.698658224031359,N,Donor
NY,11/1/2020,12/1/2020,6853,9.647745512914051,8.227827228950824,11.423799795709908,N,Donor
NY,12/1/2020,1/1/2021,6735,12.980579064587971,11.284929472902748,14.942717149220488,N,Donor
NY,1/1/2021,2/1/2021,6554,16.517058285016784,14.35776624961855,19.04787915776625,N,Donor
NY,2/1/2021,3/1/2021,6302,16.637131069501745,14.625103141859727,19.032688035544272,N,Donor
NY,3/1/2021,4/1/2021,6710,19.755081967213115,17.881535022354697,21.881535022354694,N,Donor
NY,4/1/2021,5/1/2021,6736,22.408847980997628,20.446377672209024,24.521733966745845,N,Donor
NY,5/1/2021,6/1/2021,6814,22.26601115350749,19.596947461109483,25.150895215732316,N,Donor
NY,6/1/2021,7/1/2021,6877,24.084237312781738,21.770801221462847,26.523440453686202,N,Donor
NY,7/1/2021,8/1/2021,7196,22.28590883824347,19.91671762,24.836409116175652,N,Donor
NY,8/1/2021,9/1/2021,7222,24.413943505954023,22.25960952644697,26.699723068402104,N,Donor
NY,9/1/2021,10/1/2021,7071,22.921057841889407,20.932979776552116,25.13231508980342,N,Donor
NY,10/1/2021,11/1/2021,7194,26.532026688907422,24.106672226855714,29.070058381984992,N,Donor
NY,11/1/2021,12/1/2021,7296,27.764788925438594,25.670353618421053,29.99287280701754,N,Donor
NY,12/1/2021,1/1/2022,7031,27.829256151329822,25.484795903854362,30.373332385151468,N,Donor
OH,7/1/2020,8/1/2020,3881,1.7770935325946924,0.9385467662973462,3.654187065189384,N,Donor
OH,8/1/2020,9/1/2020,3909,2.4397032489127652,1.5941161422358658,3.679406497825531,N,Donor
OH,9/1/2020,10/1/2020,3789,2.429585642649776,1.4903932435998946,3.8639746634996044,N,Donor
OH,10/1/2020,11/1/2020,3820,2.8927748691099473,2.0433769633507857,4.091570680628273,N,Donor
OH,11/1/2020,12/1/2020,3772,6.520837752,5.174337221633086,8.267338282078471,N,Donor
OH,12/1/2020,1/1/2021,3861,13.911318311318311,11.91131831131831,16.21131831131831,N,Donor
OH,1/1/2021,2/1/2021,3847,19.470548479334546,16.827242006758514,22.365193657395373,N,Donor
OH,2/1/2021,3/1/2021,3777,20.76359544612126,18.414641249669046,23.31464124966905,N,Donor
OH,3/1/2021,4/1/2021,3821,24.032583093431036,21.23258309343104,27.08099974,N,Donor
OH,4/1/2021,5/1/2021,3859,24.36797097693703,21.5208085,27.262295931588493,N,Donor
OH,5/1/2021,6/1/2021,3856,23.07798236514523,20.830134854771785,25.57367738589211,N,Donor
OH,6/1/2021,7/1/2021,3872,21.670144628099173,19.215495867768595,24.37324380165289,N,Donor
OH,7/1/2021,8/1/2021,3903,22.92016397642839,20.178939277478865,25.957878554957723,N,Donor
OH,8/1/2021,9/1/2021,3907,25.457256206808292,22.361402610698743,28.55310980291783,N,Donor
OH,9/1/2021,10/1/2021,3976,26.681740442655936,23.92230885311871,29.44117203219316,N,Donor
OH,10/1/2021,11/1/2021,4018,27.508163265306123,25.00408163265306,30.161224489795924,N,Donor
OH,11/1/2021,12/1/2021,3933,31.92786677,29.21896770912789,34.588990592423094,N,Donor
OH,12/1/2021,1/1/2022,4017,32.94453572,30.01344287,35.87562858,N,Donor
OK,7/1/2020,8/1/2020,649,1.8000000000000003,0.9000000000000001,3.8,N,Donor
OK,8/1/2020,9/1/2020,619,4.2,2.5,7.000000000000001,N,Donor
OK,9/1/2020,10/1/2020,701,4,2.2,7.200000000000001,N,Donor
OK,10/1/2020,11/1/2020,613,5,3.2,7.9,N,Donor
OK,11/1/2020,12/1/2020,667,9.2,6.800000000000001,12.3,N,Donor
OK,12/1/2020,1/1/2021,760,11.699999999999998,9.1,14.800000000000002,N,Donor
OK,1/1/2021,2/1/2021,638,24.000000000000004,19.7,28.999999999999996,N,Donor
OK,2/1/2021,3/1/2021,648,27.200000000000003,22.6,31.8,N,Donor
OK,3/1/2021,4/1/2021,635,28.999999999999996,24.4,33.6,N,Donor
OK,4/1/2021,5/1/2021,654,29.7,25,34.4,N,Donor
OK,5/1/2021,6/1/2021,684,28.4,24.2,32.6,N,Donor
OK,6/1/2021,7/1/2021,671,28.7,24.200000000000003,33.2,N,Donor
OK,7/1/2021,8/1/2021,650,25.5,21.700000000000003,29.4,N,Donor
OK,8/1/2021,9/1/2021,694,26.700000000000003,22.8,30.599999999999998,N,Donor
OK,9/1/2021,10/1/2021,800,30,25.2,34.9,N,Donor
OK,10/1/2021,11/1/2021,651,31.4,27.200000000000003,35.5,N,Donor
OK,11/1/2021,12/1/2021,659,32,28.199999999999996,35.8,N,Donor
OK,12/1/2021,1/1/2022,698,37.79999999999999,33.5,41.99999999999999,N,Donor
OR,7/1/2020,8/1/2020,1561,0.8206278026905829,0.215695067,3.1668161434977575,N,Donor
OR,8/1/2020,9/1/2020,1639,0.5393532641854789,0.226235509,1.4090298962782186,N,Donor
OR,9/1/2020,10/1/2020,1609,0.7839651957737728,0.32442510876320696,2.1679303915475447,N,Donor
OR,10/1/2020,11/1/2020,1667,1.9846430713857233,0.8692861427714458,4.792141571685662,N,Donor
OR,11/1/2020,12/1/2020,1633,1.5739130434782609,0.8782608695652174,2.886956522,N,Donor
OR,12/1/2020,1/1/2021,1636,3.555378973105134,2.333068459657702,5.4223105134474325,N,Donor
OR,1/1/2021,2/1/2021,1606,5.776712328767123,3.8383561643835615,8.714321295143213,N,Donor
OR,2/1/2021,3/1/2021,1616,6.030321782178218,4.426237623762376,8.264727722772276,N,Donor
OR,3/1/2021,4/1/2021,1629,5.538551258440761,3.803130755064457,7.979926335174954,N,Donor
OR,4/1/2021,5/1/2021,1624,6.926293103448276,4.990209359605911,9.519766009852217,N,Donor
OR,5/1/2021,6/1/2021,1632,7.931372549019608,5.615318627,10.972242647058824,N,Donor
OR,6/1/2021,7/1/2021,1571,8.416359007,6.098599618077658,11.492998090388289,N,Donor
OR,7/1/2021,8/1/2021,1582,8.309544879898862,5.974462705436157,11.368015170670038,N,Donor
OR,8/1/2021,9/1/2021,1606,7.803860523038606,5.621046077210461,10.719800747198008,N,Donor
OR,9/1/2021,10/1/2021,1849,9.110708491076256,7.046727961060031,11.720281233098973,N,Donor
OR,10/1/2021,11/1/2021,1831,11.202512288367013,9.111032222829055,13.712288367012562,N,Donor
OR,11/1/2021,12/1/2021,1625,12.106523076923077,9.791938462,14.96043076923077,N,Donor
OR,12/1/2021,1/1/2022,1647,15.48397086,12.256527018822101,19.334001214329085,N,Donor
PA,7/1/2020,8/1/2020,2769,1.2,0.7,1.9,N,Donor
PA,8/1/2020,9/1/2020,2723,1.2,0.8,1.9,N,Donor
PA,9/1/2020,10/1/2020,2763,2.4,1.6,3.6000000000000005,N,Donor
PA,10/1/2020,11/1/2020,2773,2.6000000000000005,1.9,3.5000000000000004,N,Donor
PA,11/1/2020,12/1/2020,2746,5.299999999999999,4.2,6.6000000000000005,N,Donor
PA,12/1/2020,1/1/2021,2698,10.7,9.3,12.2,N,Donor
PA,1/1/2021,2/1/2021,2809,16.8,15,18.7,N,Donor
PA,2/1/2021,3/1/2021,2719,18.4,16.6,20.299999999999997,N,Donor
PA,3/1/2021,4/1/2021,2627,20.3,18.2,22.6,N,Donor
PA,4/1/2021,5/1/2021,2588,20.899999999999995,19.3,22.6,N,Donor
PA,5/1/2021,6/1/2021,2685,22.5,20.8,24.299999999999997,N,Donor
PA,6/1/2021,7/1/2021,2672,22.3,20.4,24.299999999999997,N,Donor
PA,7/1/2021,8/1/2021,2834,21.499999999999996,19.3,23.8,N,Donor
PA,8/1/2021,9/1/2021,2680,21.8,19.7,24.100000000000005,N,Donor
PA,9/1/2021,10/1/2021,2722,23.6,21.799999999999997,25.6,N,Donor
PA,10/1/2021,11/1/2021,2730,27.3,25.3,29.4,N,Donor
PA,11/1/2021,12/1/2021,2534,29.5,26.899999999999995,32.1,N,Donor
PA,12/1/2021,1/1/2022,2706,29.799999999999997,27.699999999999996,31.8,N,Donor
PR,7/1/2020,8/1/2020,1006,0.4,0.2,1.1,N,Donor
PR,8/1/2020,9/1/2020,1994,0.9000000000000001,0.5,1.7000000000000002,N,Donor
PR,9/1/2020,10/1/2020,1998,1,0.6,1.7000000000000002,N,Donor
PR,10/1/2020,11/1/2020,1997,2.5,1.7000000000000002,3.7000000000000006,N,Donor
PR,11/1/2020,12/1/2020,1982,2.7,2,3.5000000000000004,N,Donor
PR,12/1/2020,1/1/2021,1986,3.8,2.9,5,N,Donor
PR,1/1/2021,2/1/2021,1992,5.3,4.3,6.6000000000000005,N,Donor
PR,2/1/2021,3/1/2021,1994,7.400000000000001,6.1,8.8,N,Donor
PR,3/1/2021,4/1/2021,1994,7.3,5.8,9.2,N,Donor
PR,4/1/2021,5/1/2021,1990,10.6,8.6,13.100000000000001,N,Donor
PR,5/1/2021,6/1/2021,1985,9.2,7.6,11.1,N,Donor
PR,6/1/2021,7/1/2021,1993,9.5,7.8,11.6,N,Donor
PR,7/1/2021,8/1/2021,1977,10.7,8.9,12.8,N,Donor
PR,8/1/2021,9/1/2021,1981,9.1,7.7,10.7,N,Donor
PR,9/1/2021,10/1/2021,2045,15.7,13.600000000000001,18.1,N,Donor
PR,10/1/2021,11/1/2021,2082,12.7,11.1,14.400000000000002,N,Donor
PR,11/1/2021,12/1/2021,1994,13.699999999999998,11.3,16.6,N,Donor
PR,12/1/2021,1/1/2022,1968,12.3,10.8,14.099999999999998,N,Donor
RI,8/1/2020,9/1/2020,1087,2,1,3.8,N,Donor
RI,9/1/2020,10/1/2020,1233,4,2.5,6.5,N,Donor
RI,10/1/2020,11/1/2020,1261,2.4,1.3,4.1,N,Donor
RI,11/1/2020,12/1/2020,1284,3.6000000000000005,2.2,5.999999999999999,N,Donor
RI,12/1/2020,1/1/2021,1359,5.2,3.6000000000000005,7.3,N,Donor
RI,1/1/2021,2/1/2021,1391,12,9.2,15.6,N,Donor
RI,2/1/2021,3/1/2021,1313,10.7,8.2,13.699999999999998,N,Donor
RI,3/1/2021,4/1/2021,1390,17,14.099999999999998,20.3,N,Donor
RI,4/1/2021,5/1/2021,1458,16.5,13.8,19.5,N,Donor
RI,5/1/2021,6/1/2021,1483,16,13,19.399999999999995,N,Donor
RI,6/1/2021,7/1/2021,1419,18.8,15.4,22.699999999999996,N,Donor
RI,7/1/2021,8/1/2021,1494,15,12.2,18.200000000000003,N,Donor
RI,8/1/2021,9/1/2021,1422,17.2,14.099999999999998,20.8,N,Donor
RI,9/1/2021,10/1/2021,1335,18.6,15,22.8,N,Donor
RI,10/1/2021,11/1/2021,1526,22.2,19.1,25.6,N,Donor
RI,11/1/2021,12/1/2021,1599,23.6,20.6,26.899999999999995,N,Donor
RI,12/1/2021,1/1/2022,1506,24.6,21.6,27.800000000000004,N,Donor
SC,7/1/2020,8/1/2020,1931,2.5,1.6,3.9,N,Donor
SC,8/1/2020,9/1/2020,1966,6,4.7,7.7,N,Donor
SC,9/1/2020,10/1/2020,1918,5.2,3.8,7.1,N,Donor
SC,10/1/2020,11/1/2020,1861,6.7,5.3,8.5,N,Donor
SC,11/1/2020,12/1/2020,1834,9,7.1,11.300000000000002,N,Donor
SC,12/1/2020,1/1/2021,1936,9.1,7.1,11.6,N,Donor
SC,1/1/2021,2/1/2021,1941,19.7,17.2,22.6,N,Donor
SC,2/1/2021,3/1/2021,1868,22.5,19.7,25.6,N,Donor
SC,3/1/2021,4/1/2021,1864,19.7,17.3,22.3,N,Donor
SC,4/1/2021,5/1/2021,1884,20.9,18.3,23.6,N,Donor
SC,5/1/2021,6/1/2021,1939,22.8,20.6,25.2,N,Donor
SC,6/1/2021,7/1/2021,1870,20.3,17.8,23.1,N,Donor
SC,7/1/2021,8/1/2021,1890,20.1,17.3,23.2,N,Donor
SC,8/1/2021,9/1/2021,1898,25.8,23.1,28.499999999999996,N,Donor
SC,9/1/2021,10/1/2021,2028,26.8,23.7,29.799999999999997,N,Donor
SC,10/1/2021,11/1/2021,1930,27.200000000000003,24.9,29.5,N,Donor
SC,11/1/2021,12/1/2021,1706,28.000000000000004,24.9,31.1,N,Donor
SC,12/1/2021,1/1/2022,1940,29.9,27.1,32.8,N,Donor
SD,7/1/2020,8/1/2020,1460,1.6,0.8,3.2,N,Donor
SD,8/1/2020,9/1/2020,1397,4.4,2.5,7.6,N,Donor
SD,9/1/2020,10/1/2020,1362,4.8,2.9,7.9,N,Donor
SD,10/1/2020,11/1/2020,1339,9.1,7.200000000000001,11.5,N,Donor
SD,11/1/2020,12/1/2020,1655,15.5,13.3,17.9,N,Donor
SD,12/1/2020,1/1/2021,1837,21.7,19.3,24.299999999999997,N,Donor
SD,1/1/2021,2/1/2021,1712,31.900000000000002,27.699999999999996,36.099999999999994,N,Donor
SD,2/1/2021,3/1/2021,1836,33,30.099999999999998,35.9,N,Donor
SD,3/1/2021,4/1/2021,1751,34.8,31.4,38.2,N,Donor
SD,4/1/2021,5/1/2021,1559,30.9,27.6,34.1,N,Donor
SD,5/1/2021,6/1/2021,1482,39.3,36.2,42.39999999999999,N,Donor
SD,6/1/2021,7/1/2021,1877,34.7,31.1,38.3,N,Donor
SD,7/1/2021,8/1/2021,1537,37.300000000000004,33.6,41,N,Donor
SD,8/1/2021,9/1/2021,1309,39.2,35.1,43.4,N,Donor
SD,9/1/2021,10/1/2021,1475,42,38.5,45.5,N,Donor
SD,10/1/2021,11/1/2021,1559,40.9,37.6,44.2,N,Donor
SD,11/1/2021,12/1/2021,1408,44.7,41.300000000000004,48.1,N,Donor
SD,12/1/2021,1/1/2022,1220,44.3,40.2,48.400000000000006,N,Donor
TN,7/1/2020,8/1/2020,3181,1.9428481609556743,1.1523734674630617,3.342848160955674,N,Donor
TN,8/1/2020,9/1/2020,3120,3.4735897435897436,2.2420512820512823,5.336666666666668,N,Donor
TN,9/1/2020,10/1/2020,2744,3.5105685131195337,2.2510568513119535,5.580648688046647,N,Donor
TN,10/1/2020,11/1/2020,2972,5.856965006729475,4.443034993270524,7.675538358008074,N,Donor
TN,11/1/2020,12/1/2020,2616,9.135053516819571,6.841857798165138,12.20783639143731,N,Donor
TN,12/1/2020,1/1/2021,2698,13.171163825055595,10.640733876945884,16.33558191,N,Donor
TN,1/1/2021,2/1/2021,2605,19.380998080614205,16.414587332053742,22.73397312859885,N,Donor
TN,2/1/2021,3/1/2021,2295,22.82065359477124,19.556514161220043,26.445664488017428,N,Donor
TN,3/1/2021,4/1/2021,2680,21.449253731343283,18.99820895522388,23.996119402985077,N,Donor
TN,4/1/2021,5/1/2021,2394,25.24327485380117,21.569340016708438,29.291144527986635,N,Donor
TN,5/1/2021,6/1/2021,2602,28.023750960799386,24.15476556495004,31.892736356648726,N,Donor
TN,6/1/2021,7/1/2021,2551,25.324186593492747,21.468286946295567,29.388788710309683,N,Donor
TN,7/1/2021,8/1/2021,2705,25.775600739371534,22.340850277264323,29.36136783733827,N,Donor
TN,8/1/2021,9/1/2021,2828,27.03415841584158,23.330693069306925,30.74108910891089,N,Donor
TN,9/1/2021,10/1/2021,2758,29.71276287164612,26.34612037708484,33.21689630166788,N,Donor
TN,10/1/2021,11/1/2021,2881,30.84526206,27.442381117667473,34.25102395001735,N,Donor
TN,11/1/2021,12/1/2021,2817,32.76837060702876,29.480617678381254,36.00408236,N,Donor
TN,12/1/2021,1/1/2022,2755,34.739818511796734,31.241052631578945,38.18889292196007,N,Donor
TX,7/1/2020,8/1/2020,2805,4.5,3.3000000000000003,6.1,N,Donor
TX,8/1/2020,9/1/2020,2896,7.1,5.7,8.9,N,Donor
TX,9/1/2020,10/1/2020,6542,7.979623968205442,6.637542036074596,9.563787832467135,N,Donor
TX,10/1/2020,11/1/2020,6542,7.8548303271170905,6.571216753286457,9.222057474778357,N,Donor
TX,11/1/2020,12/1/2020,6634,9.771932469098584,8.171736508893579,11.643668977992162,N,Donor
TX,12/1/2020,1/1/2021,6429,13.86803546430238,12.018214341266138,15.899642246072485,N,Donor
TX,1/1/2021,2/1/2021,6741,19.80394600207684,17.794184839044654,21.955659397715472,N,Donor
TX,2/1/2021,3/1/2021,6762,22.705338657202013,20.401523217982845,25.167169476486244,N,Donor
TX,3/1/2021,4/1/2021,6682,26.738760850044898,24.54941634241245,29.02810535767734,N,Donor
TX,4/1/2021,5/1/2021,6515,26.76075211,24.89755948,28.564742900997697,N,Donor
TX,5/1/2021,6/1/2021,6622,26.985487768045907,24.803729990939292,29.18548776804591,N,Donor
